name,id,section,section_id,submitted,attempt,786512943: What are some of the things that you enjoy about our course so far?,1,"786512943: At this point in the semester, what concerns you the most about taking this course, if any? If you do not have any, you can write ""none"" or ""NA"". To receive full credit for this activity, you will need to write something below.",1,"786512943: Anything you would like me to know about before we start our course regarding your individual needs, or impressions of the course so far? If there is nothing, please write NA or something similar, because to receive full credit for this activity, you will need to write something below.",1,"10085897: In case we want to reply to your survey responses in an email, what is your preferred name?",1,n correct,n incorrect,score,Category,Responses
Liam Smith,1001234,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-18 08-27-56 UTC,2,I love the flexibility of being able to study whenever it suits me.,0,I'm concerned about the level of difficulty.,0,,0,I go by Mike ,0,9,0,8,FAQ,I'm concerned about the level of difficulty.
Emma Johnson,1005678,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-15 14-53-21 UTC,1,,0,,0,,0, Liz ,0,9,0,8,NON,N/A
Noah Brown,1023456,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-17 02-19-45 UTC,2,Online courses give me the freedom to travel and still keep up with my studies.,0,I worry about staying motivated and disciplined in a self-paced online environment.,0,,0, Andy,0,9,0,8,FAQ,I worry about staying motivated and disciplined in a self-paced online environment.
Olivia Taylor,1012345,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-12 09-36-14 UTC,1,,0,I am also worried that I won't do well in this course when it comes to the exams due to my test anxiety.,0,,0,,0,9,0,8,IND,I am also worried that I won't do well in this course when it comes to the exams due to my test anxiety.
Sophia Anderson,1045678,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-14 18-04-39 UTC,1,,0,,0,,0,,0,9,0,8,NON,Nothing
Jackson Williams,1009876,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-13 05-29-17 UTC,1,The online discussion forums allow me to engage in meaningful discussions with classmates.,0,I hope I can effectively communicate with my professor for clarifications and questions.,0,,0,My friends call me  Sammy ,0,9,0,8,FAQ,I hope I can effectively communicate with my professor for clarifications and questions.
Ava Jones,1034567,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-19 16-58-03 UTC,1,Having access to recorded lectures means I can review the material at my own pace.,0,I worry about finding adequate resources and materials for advanced calculus topics.,0,,0, Jess,0,9,0,8,FAQ,I worry about finding adequate resources and materials for advanced calculus topics.
Aiden Martinez,1010987,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-10 11-45-28 UTC,2,,0,,0,,0,,0,9,0,8,NON,None
Lucas Davis,1054321,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-16 03-12-50 UTC,2,I appreciate not having to rush to make it to early morning classes.,0,I hope I won't feel isolated and disconnected from my peers and classmates.,0,,0,My preferred name is  Alex,0,9,0,8,FAQ,I hope I won't feel isolated and disconnected from my peers and classmates.
Mia Rodriguez,1098765,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-11 10-40-07 UTC,2,,0,NA,0,,0, Dancing Dynamo Dan ,0,9,0,8,NON,NA
Isabella Miller,1008765,"202402/MATH/1234/QH8/123456, 202402/MATH/1234/QH9/123456","864219, 537804",2023-01-18 23-11-34 UTC,1,,0,I'm concerned about managing my time efficiently to keep up with assignments and lectures.,0,,0,,0,9,0,8,FAQ,I'm concerned about managing my time efficiently to keep up with assignments and lectures.
